cd_key,cd_categ,cd_id,cd_name
1,1,100,Increase household's labor share
2,1,101,Participate in labor exchanges
3,1,102,Adjust input use (e.g., seeds and fertilizer) to conditions
4,1,103,Rent/hire/share/purchase agricultural land
5,1,104,Borrow/rent/hire farm equipment
6,1,105,Use irrigation
7,1,106,Build soil conservation structures
8,1,107,Use pesticides/weedicide
9,1,108,Dig bore holes/wells/dams/reservoirs/streambeds
10,1,109,Migration
11,1,-98,Other
12,1,-99,None
13,2,200,Use silo /nkhokwe/pit granary
14,2,201,Store crops in home
15,2,202,Rent/hire storage space from others
16,2,203,Build storage unit
17,2,204,Use pesticides
18,1,-98,Other
19,2,-99,None
20,3,300,Postpone sale of produce
21,3,301,Sale produce in piecemeal
22,3,302,Sale produce in neighboring countries
23,3,303,Hire transport (alone or as a group)
24,1,-98,Other
25,3,-99,None
26,4,400,Rent/hire grazing land
27,4,401,Purchase/trade forage
28,4,402,Diversify breeds/breeding habits
29,4,403,Migrate for grazing and/or water
30,4,404,Purchase high yield breeds
31,4,405,Sell/slaughter animals
32,4,406,Market in an association /delay marketing
33,1,-98,Other
34,4,-99,None
35,5,500,Join farmers' association
36,5,501,Borrow money from family/friends /banks
37,5,502,Rely on government support/charity
38,5,503,Ask advice from family/friends /extension agents
39,5,504,Reduce household expenditures
40,5,505,Share transport
41,5,506,Rent/hire transport
42,5,999,Other interventions
43,5,1000,Took no action
44,5,-99,None
