age_key,height_male_min,height_male_max,height_female_min,height_female_max,weight_male_min,weight_male_max,weight_female_min,weight_female_max
0,36,74,36,72,0.5,10,0.5,9
1,36,74,36,72,0.5,10,0.5,9
2,36,74,36,72,0.5,10,0.5,9
3,45,83,44,80,1,13,1,12
4,45,83,44,80,1,13,1,12
5,45,83,44,80,1,13,1,12
6,51,87,50,86,2,15,2,14
7,51,87,50,86,2,15,2,14
8,51,87,50,86,2,15,2,14
9,56,91,54,90,3,16.5,2.5,15.5
10,56,91,54,90,3,16.5,2.5,15.5
11,56,91,54,90,3,16.5,2.5,15.5
12,59,96,57,95,4,17.5,3,16.5
13,59,96,57,95,4,17.5,3,16.5
14,59,96,57,95,4,17.5,3,16.5
15,62,100,60,99,4,18.5,3.5,17.5
16,62,100,60,99,4,18.5,3.5,17.5
17,62,100,60,99,4,18.5,3.5,17.5
18,64,104,62,102,4,19.5,3.5,18.5
19,64,104,62,102,4,19.5,3.5,18.5
20,64,104,62,102,4,19.5,3.5,18.5
21,65,107,64,106,4.5,20.5,4,19.5
22,65,107,64,106,4.5,20.5,4,19.5
23,65,107,64,106,4.5,20.5,4,19.5
24,67,108,66,107,4.5,23,4.5,21.5
25,67,108,66,107,4.5,23,4.5,21.5
26,67,108,66,107,4.5,23,4.5,21.5
27,68,112,68,111,5,24,5,23
28,68,112,68,111,5,24,5,23
29,68,112,68,111,5,24,5,23
30,70,115,69,114,5,24.5,5,24.5
31,70,115,69,114,5,24.5,5,24.5
32,70,115,69,114,5,24.5,5,24.5
33,71,118,71,117,5,25.5,5,25.5
34,71,118,71,117,5,25.5,5,25.5
35,71,118,71,117,5,25.5,5,25.5
36,73,121,72,120,5,26,5,27
37,73,121,72,120,5,26,5,27
38,73,121,72,120,5,26,5,27
39,74,124,74,122,5,27,5,28
40,74,124,74,122,5,27,5,28
41,74,124,74,122,5,27,5,28
42,75,127,75,124,5,28,5.5,29
43,75,127,75,124,5,28,5.5,29
44,75,127,75,124,5,28,5.5,29
45,77,130,77,126,5,29,5.5,30
46,77,130,77,126,5,29,5.5,30
47,77,130,77,126,5,29,5.5,30
48,78,132,78,129,5,30,5.5,31
49,78,132,78,129,5,30,5.5,31
50,78,132,78,129,5,30,5.5,31
51,79,134,79,131,5,31,5.5,32
52,79,134,79,131,5,31,5.5,32
53,79,134,79,131,5,31,5.5,32
54,80,136,81,133,5.5,32,6,33
55,80,136,81,133,5.5,32,6,33
56,80,136,81,133,5.5,32,6,33
57,82,139,81,136,5.5,33,6,34.5
58,82,139,81,136,5.5,33,6,34.5
59,82,139,81,136,5.5,33,6,34.5
